Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
'2003','Tennessee','Liver and Intrahepatic Bile Duct','3.2','2.8','3.7','198','5847812'
'2003','South Carolina','Liver and Intrahepatic Bile Duct','4.2','3.6','4.9','179','4150297'
'2003','Pennsylvania','Liver and Intrahepatic Bile Duct','5.7','5.3','6.1','827','12374658'
'2003','Oregon','Liver and Intrahepatic Bile Duct','4.8','4.2','5.6','182','3547376'
'2003','Ohio','Liver and Intrahepatic Bile Duct','4.2','3.9','4.6','515','11434788'
'2003','Oklahoma','Liver and Intrahepatic Bile Duct','4.6','3.9','5.3','168','3504892'
'2003','North Dakota','Liver and Intrahepatic Bile Duct','3.2','2','4.9','22','638817'
'2003','North Carolina','Liver and Intrahepatic Bile Duct','4.2','3.8','4.6','357','8422501'
'2003','New Hampshire','Liver and Intrahepatic Bile Duct','3.9','2.9','5.2','51','1279840'
'2003','New Jersey','Liver and Intrahepatic Bile Duct','6','5.5','6.5','547','8601402'
'2003','Nebraska','Liver and Intrahepatic Bile Duct','4.3','3.4','5.3','77','1738643'
'2003','Missouri','Liver and Intrahepatic Bile Duct','5.3','4.7','5.9','319','5709403'
'2003','Minnesota','Liver and Intrahepatic Bile Duct','3.6','3.1','4.2','182','5053572'
'2003','Massachusetts','Liver and Intrahepatic Bile Duct','5.6','5.1','6.2','383','6422565'
'2003','Michigan','Liver and Intrahepatic Bile Duct','5.6','5.2','6.1','583','10041152'
'2003','Louisiana','Liver and Intrahepatic Bile Duct','5.9','5.2','6.7','263','4521042'
'2003','Maine','Liver and Intrahepatic Bile Duct','3.9','3','5','59','1306513'
'2003','Maryland','Liver and Intrahepatic Bile Duct','5','4.4','5.6','272','5496269'
'2003','Iowa','Liver and Intrahepatic Bile Duct','3.5','2.9','4.2','119','2941999'
'2003','Kansas','Liver and Intrahepatic Bile Duct','3.8','3.1','4.6','108','2723004'
'2003','Kentucky','Liver and Intrahepatic Bile Duct','4.4','3.8','5.1','190','4117170'
'2003','Illinois','Liver and Intrahepatic Bile Duct','5.1','4.7','5.5','626','12556006'
'2003','Indiana','Liver and Intrahepatic Bile Duct','4.9','4.3','5.4','303','6196638'
'2003','Georgia','Liver and Intrahepatic Bile Duct','4.3','3.8','4.8','320','8622793'
'2003','Delaware','Liver and Intrahepatic Bile Duct','4.2','3','5.9','36','818003'
'2003','Florida','Liver and Intrahepatic Bile Duct','5.8','5.5','6.1','1200','17004085'
'2003','Connecticut','Liver and Intrahepatic Bile Duct','5.6','4.8','6.4','212','3484336'
'2003','Colorado','Liver and Intrahepatic Bile Duct','5.2','4.5','5.9','209','4528732'
'2003','Arkansas','Liver and Intrahepatic Bile Duct','3.6','3','4.4','107','2724816'
'2003','Arizona','Liver and Intrahepatic Bile Duct','4.9','4.4','5.6','277','5510364'
'2003','Alabama','Liver and Intrahepatic Bile Duct','4.3','3.8','5','206','4503491'
'2003','Nevada','Liver and Intrahepatic Bile Duct','6.4','5.3','7.6','135','2248850'
'2003','Mississippi','Liver and Intrahepatic Bile Duct','6.4','5.5','7.4','182','2868312'
'2003','New York','Liver and Intrahepatic Bile Duct','6.8','6.4','7.2','1360','19175939'
'2003','Alaska','Liver and Intrahepatic Bile Duct','6.6','4.4','9.5','35','648414'
'2003','Texas','Liver and Intrahepatic Bile Duct','7.5','7.1','7.9','1429','22030931'
'2003','New Mexico','Liver and Intrahepatic Bile Duct','7.1','5.9','8.4','134','1877574'
'2003','District of Columbia','Liver and Intrahepatic Bile Duct','7.2','5.1','9.7','41','568502'
'2003','California','Liver and Intrahepatic Bile Duct','7.4','7.1','7.7','2378','35253159'
'2004','California','Liver and Intrahepatic Bile Duct','7.8','7.5','8.1','2568','35574576'
'2004','New Mexico','Liver and Intrahepatic Bile Duct','7.9','6.7','9.3','154','1903808'
'2004','Utah','Liver and Intrahepatic Bile Duct','2.9','2.1','3.7','54','2401580'
'2004','Texas','Liver and Intrahepatic Bile Duct','8.3','7.9','8.7','1614','22394023'
'2004','Rhode Island','Liver and Intrahepatic Bile Duct','8.1','6.6','9.9','96','1074579'
'2004','North Dakota','Liver and Intrahepatic Bile Duct','2.6','1.6','4.1','20','644705'
'2004','Wyoming','Liver and Intrahepatic Bile Duct','3','1.7','4.9','16','509106'
'2004','Nebraska','Liver and Intrahepatic Bile Duct','4','3.1','5','73','1749370'
'2004','Minnesota','Liver and Intrahepatic Bile Duct','3.8','3.3','4.4','199','5087713'
'2004','Mississippi','Liver and Intrahepatic Bile Duct','5','4.2','5.9','144','2889010'
'2004','Missouri','Liver and Intrahepatic Bile Duct','5.7','5.1','6.3','354','5747741'
'2004','Massachusetts','Liver and Intrahepatic Bile Duct','6','5.4','6.6','416','6412281'
'2004','Michigan','Liver and Intrahepatic Bile Duct','5.7','5.2','6.1','599','10055315'
'2004','Maine','Liver and Intrahepatic Bile Duct','4.9','3.9','6.1','77','1313688'
'2004','Maryland','Liver and Intrahepatic Bile Duct','5','4.4','5.7','279','5546935'
'2004','Kentucky','Liver and Intrahepatic Bile Duct','4.7','4.1','5.4','200','4146101'
'2004','Kansas','Liver and Intrahepatic Bile Duct','3.3','2.7','4.1','95','2734373'
'2004','Indiana','Liver and Intrahepatic Bile Duct','4.6','4.1','5.1','294','6233007'
'2004','Iowa','Liver and Intrahepatic Bile Duct','4.2','3.5','5','142','2953635'
'2004','Illinois','Liver and Intrahepatic Bile Duct','5.7','5.3','6.1','714','12589773'
'2004','Idaho','Liver and Intrahepatic Bile Duct','4.5','3.5','5.8','62','1391802'
'2004','Florida','Liver and Intrahepatic Bile Duct','5.7','5.4','6','1213','17415318'
'2004','Georgia','Liver and Intrahepatic Bile Duct','5.2','4.7','5.7','401','8769252'
'2004','Connecticut','Liver and Intrahepatic Bile Duct','5.7','5','6.5','217','3496094'
'2004','Delaware','Liver and Intrahepatic Bile Duct','5.9','4.4','7.8','53','830803'
'2004','Arizona','Liver and Intrahepatic Bile Duct','6.2','5.6','6.9','361','5652404'
'2004','Alabama','Liver and Intrahepatic Bile Duct','4.9','4.3','5.5','239','4530729'
'2004','Arkansas','Liver and Intrahepatic Bile Duct','4.6','3.9','5.5','139','2749686'
'2004','New Hampshire','Liver and Intrahepatic Bile Duct','3.3','2.4','4.5','45','1290121'
'2004','Vermont','Liver and Intrahepatic Bile Duct','3.9','2.6','5.7','28','619920'
