Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
'2003','Utah','Lung and Bronchus','32.2','29.6','35.1','545','2360137'
'2003','New Mexico','Lung and Bronchus','46.1','43.1','49.3','854','1877574'
'2003','Hawaii','Lung and Bronchus','52','48.3','56','708','1251154'
'2003','California','Lung and Bronchus','56.2','55.3','57','17399','35253159'
'2003','Colorado','Lung and Bronchus','54.2','51.9','56.6','2041','4528732'
'2003','South Dakota','Lung and Bronchus','62.3','57','67.9','520','763729'
'2003','Wisconsin','Lung and Bronchus','64.2','62.1','66.3','3659','5479203'
'2003','Alaska','Lung and Bronchus','76.6','67.5','86.4','299','648414'
'2003','Alabama','Lung and Bronchus','74.1','71.7','76.6','3564','4503491'
'2003','Arkansas','Lung and Bronchus','82.2','79','85.5','2471','2724816'
'2003','Connecticut','Lung and Bronchus','70.2','67.6','73','2668','3484336'
'2003','Florida','Lung and Bronchus','74.3','73.2','75.5','16174','17004085'
'2003','Delaware','Lung and Bronchus','85','78.9','91.3','738','818003'
'2003','Georgia','Lung and Bronchus','76.1','74.1','78.2','5542','8622793'
'2003','Indiana','Lung and Bronchus','83.2','81','85.5','5192','6196638'
'2003','Illinois','Lung and Bronchus','74.2','72.6','75.7','9090','12556006'
'2003','Kentucky','Lung and Bronchus','100.8','97.8','103.8','4297','4117170'
'2003','Iowa','Lung and Bronchus','70.2','67.4','73.1','2346','2941999'
'2003','Maine','Lung and Bronchus','80.7','76.2','85.3','1221','1306513'
'2003','Louisiana','Lung and Bronchus','80.5','77.9','83.2','3509','4521042'
'2003','Michigan','Lung and Bronchus','78.6','76.9','80.4','7992','10041152'
'2003','Maryland','Lung and Bronchus','72.6','70.3','74.9','3836','5496269'
'2003','Massachusetts','Lung and Bronchus','71.5','69.5','73.5','4874','6422565'
'2003','Mississippi','Lung and Bronchus','81','77.8','84.4','2314','2868312'
'2003','Missouri','Lung and Bronchus','83.1','80.9','85.5','5075','5709403'
'2003','Nevada','Lung and Bronchus','78.2','74.5','82.1','1681','2248850'
'2003','New Hampshire','Lung and Bronchus','71.1','66.5','75.9','914','1279840'
'2003','North Carolina','Lung and Bronchus','73.7','71.9','75.6','6244','8422501'
